Header Information_RECTYPE,TABLE,TABLE_NUMBER,TABLE_DESCRIPTION,SECTION,SECTION_DESCRIPTION,PART,PART_DESCRIPTION,ORDER,Variable Information_RECTYPE,VARIABLE_NAME,VARIABLE_DESCRIPTION,START_POSITION,FORMAT,CHANGE,CHANGE_TYPE
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,QYEAR,"Year and quarter of the interview, for use in matching to the other files
 CODED
 20121  2012, 1st quarter
 20122  2012, 2nd quarter
 20123  2012, 3rd quarter
 20124  2012, 4th quarter
 20131  2013, 1st quarter
 BLS derived",1,CHAR(5),,
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,NEWID,"CU identification number.  Digits 1-7 (CU sequence number, 1 through 9999999) uniquely identify the CU.  Digit 8 is the interview number, 2 through 5.
 It is possible for a CU to skip an interview.  For example, a CU could have a 2nd, 3rd and 5th interview but no 4th interview.
Values of NEWID contain a leading zero. Therefore it will appear the NEWIDs are 7 numbers long, when they are in fact 8 numbers.
 BLS derived",6,NUM(8),,
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,SEQNO,"Sequence number, uniquely identifies each EXPN record based on order of entries on survey questionnaire
 BLS derived
",14,NUM(3),,
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,ALCNO,"Allocation number, field in common to all rows.  Identifies rows that are the result of allocation.  If ALCNO is greater than zero then the observation is a result of allocation. ALCNO can be used in conjunction with SEQNO to derive a value which has been allocated and written over with the flag H (see the notes under ""ALLOCATION AND RECORD ORIGIN"" for
 instructions).
 BLS derived
",17,NUM(3),,
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,REC_ORIG,"Describes the origin of the record, field in common to all records (see ""ALLOCATION AND RECORD ORIGIN"" for the codes and their descriptions).
 BLS derived
",20,CHAR(1),,
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,MAJAPPLY,"Item code
 CODED
 100  Cooking stove, range, or oven
 120  Microwave oven
 140  Refrigerator or home freezer
 160  Built-in dishwasher
 170  Portable dishwasher
 180  Garbage disposal
 190  Clothes washer
 200  Clothes dryer
 210  Range hood
 220  Combined major appliances (100-210)
 225  Combined Clothes washer and dryer (190, 200)
                                                                                                                                 CAPI Section 6",21,CHAR(3),,
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,MAJA_PLY,"
",24,CHAR(1),,
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,GFTC_MAJ,"Was this item purchased for own use, rented, or purchased as gift to others?
 CODED
 1  Purchased for own use
 2  Rented
 3  Purchased for someone outside your CU
 CAPI Section 6
",25,CHAR(1),,
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,GFTC0MAJ,"
",26,CHAR(1),,
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,MAJ_MO,"When did you purchase it?
 CODED
 01-12 January-December
 CAPI Section 6
",27,CHAR(2),,
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,MAJ_MO_,"
",29,CHAR(1),,
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,MAJPURX,"What was the purchase price?
                                                                                                                                        CAPI Section 6",30,NUM(6),,
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,MAJPURX_,"
",36,CHAR(1),,
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,MAJRENTX,"What was the total rental expense since the 1st of (month, 3 months ago), excluding the current month?  (GFTC_MAJ = 2 only)
 CAPI Section 6
",39,NUM(6),,
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,MAJR_NTX,"
",45,CHAR(1),,
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,MAJINSTX,"How much were any extra charges for installation or delivery? (includes charges for disposal of old appliances)
 CAPI Section 6",46,NUM(6)
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,MAJI_STX,"
",52,CHAR(1)
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,MJAPPL1,"If MAJAPPLY = 225, then MJAPPL1 will contain the first code mentioned of the multiple items indicated in MAJAPPLY
Item code
 CODED
 100  Cooking stove, range, or oven
 120  Microwave oven
 140  Refrigerator or home freezer
 160  Built-in dishwasher
 170  Portable dishwasher
 180  Garbage disposal
 190  Clothes washer
 200  Clothes dryer
 210  Range hood
 220  Combined major appliances (100-210)
 225  Combined Clothes washer and dryer (190, 200)
                                                                                                                                      CAPI Section 6",53,CHAR(3)
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,MJAPPL1_,"
",56,CHAR(1)
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,MJAPPL2,"Same as MJAPPL1, but contains the second item mentioned
 CAPI Section 6
",57,CHAR(3)
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,MJAPPL2_,"
",60,CHAR(1)
EAPA,EXPN,6,Detailed Expenditures Files,6,"Appliances, Household Equipment, and Other Selected Items",A,Purchase of Household Appliances,24,EAPA,MJAPPL3,"Same as MJAPPL1, but contains the third item mentioned
 CAPI Section 6
",61,CHAR(3)
